,No Mhs,Kalkulus 1 TP1,Kalkulus TP2,Kalkulus 1 UTS,Kalkulus 1 UAS,Kalkulus 1 Rata-Rata,Data Sci IoT TP1,Data Sci IoT TP2,Data Sci IoT UTS,Data Sci IoT UAS,Data Sci IoT Rata-Rata,Keamanan Komp TP1,Keamanan Komp TP2,Keamanan Komp UTS,Keamanan Komp UAS,Keamanan Komp Rata-Rata,Jaringan Komp TP1,Jaringan Komp TP2,Jaringan Komp UTS,Jaringan Komp UAS,Jaringan Komp Rata-Rata,Machine Learning Lanjut TP1,Machine Learning Lanjut TP2,Machine Learning Lanjut UTS,Machine Learning Lanjut UAS,Machine Learning Lanjut Rata-Rata,Pemodelan B. Objek TP1,Pemodelan B. Objek TP2,Pemodelan B. Objek UTS,Pemodelan B. Objek UAS,Pemodelan B. Objek Rata-Rata,Pengolahan Gbr Data Sci TP1,Pengolahan Gbr Data Sci TP2,Pengolahan Gbr Data Sci TP3,Pengolahan Gbr Data Sci TP4,Pengolahan Gbr Data Sci Rata-Rata,Pemrograman Web TP1,Pemrograman Web TP2,Pemrograman Web UTS,Pemrograman Web UAS,Pemrograman Web Rata-Rata,Pemrograman Mobile TP1,Pemrograman Mobile TP2,Pemrograman Mobile UTS,Pemrograman Mobile UAS,Pemrograman Mobile Rata-Rata,Blockchain TP1,Blockchain TP2,Blockchain UTS,Blockchain UAS,Blockchain Rata-Rata,Topik Skripsi
0,0,10,8,8,7,8,9,5,10,8,8,3,2,7,4,4,6,2,5,3,4,3,1,5,2,3,6,7,4,8,6,2,5,2,2,3,8,9,7,4,7,7,6,2,7,6,2,5,3,2,3,Kalkulus 1
1,1,6,7,2,1,4,12,8,5,8,8,10,6,3,7,6,9,9,6,2,6,9,10,10,12,10,12,10,11,6,10,12,9,9,11,10,9,6,7,2,6,12,12,9,9,10,8,5,4,7,6,Machine Learning Lanjut
2,2,8,5,3,1,4,7,8,3,3,5,7,3,2,7,5,7,9,11,11,10,12,12,10,12,12,7,4,7,4,6,7,6,4,2,5,8,7,6,8,7,12,8,8,9,9,11,11,10,6,10,Blockchain
3,3,6,3,3,2,4,6,5,10,4,6,12,10,9,6,9,5,2,5,3,4,12,8,8,12,10,9,11,5,10,9,5,7,3,3,4,8,12,11,5,9,5,2,5,2,4,12,9,5,7,8,Pemodelan B. Objek
4,4,3,1,1,5,2,5,5,2,7,5,8,9,6,8,8,4,3,3,2,3,10,6,3,8,7,5,3,1,1,2,2,5,1,2,2,5,1,5,5,4,6,8,3,8,6,2,3,3,6,4,Pemrograman Mobile
5,5,9,8,7,4,7,8,5,8,7,7,12,11,9,7,10,9,9,9,12,10,8,9,5,4,6,11,8,4,3,6,10,8,12,10,10,5,9,3,1,4,8,12,12,4,9,7,11,3,3,6,Pengolahan Gbr Data Sci
6,6,9,6,3,5,6,9,11,5,6,8,9,9,12,12,10,10,9,7,6,8,8,7,9,11,9,7,9,7,3,6,9,9,7,5,8,6,2,3,4,4,12,11,8,8,10,11,12,7,8,10,Blockchain
7,7,5,4,9,8,6,8,6,2,2,4,11,10,7,8,9,6,10,9,5,8,10,11,10,8,10,5,4,1,2,3,5,1,5,3,4,8,6,7,9,8,7,11,8,12,10,5,4,2,7,4,Pemrograman Mobile
8,8,6,6,9,3,6,9,7,8,7,8,8,9,4,5,6,7,4,2,7,5,6,7,9,2,6,4,8,6,7,6,2,6,1,3,3,5,9,3,6,6,9,9,5,10,8,5,3,5,1,4,Pemrograman Mobile
9,9,10,11,8,4,8,5,5,4,9,6,9,9,9,11,10,6,4,7,1,4,5,1,3,5,4,8,5,3,8,6,12,9,10,9,10,11,11,11,12,11,7,6,3,8,6,11,10,8,11,10,Pengolahan Gbr Data Sci
